ForayNL Name,Mycobank Name,Value
Peltigera membranacea,Peltigera membranacea,0
Peltigera neckeri,Peltigera neckeri,0
Peltigera neopolydactyla,Peltigera neopolydactyla,0
Peltigera polydactylon,Peltigera polydactylon,0
Peltigera ponojensis,Peltigera ponojensis,0
Peltigera praetextata,Peltigera praetextata,0
Peltigera rufescens,Peltigera rufescens,0
Peltigera scabrosa,Peltigera scabrosa,0
Pertusaria androgyna,,3
Pertusaria borealis,Pertusaria borealis,0
Pertusaria consocians ,Pertusaria consocians,1
Pertusaria dactylina,Pertusaria dactylina,0
Pertusaria macounii,Pertusaria macounii,0
Pertusaria plittiana,Pertusaria plittiana,0
Phaeocalicium compressulum,Phaeocalicium compressulum,0
Phaeocalicium flabelliforme,Phaeocalicium flabelliforme,0
Phaeocalicium interruptum,Phaeocalicium interruptum,0
Phaeocalicium mathhewsianum,Phaeocalicium matthewsianum,2
Phaeophyscia orbicularis,Phaeophyscia orbicularis,0
Phaeophyscia pusilloides,Phaeophyscia pusilloides,0
Phaeophysica nigrescens,,3
Physcia adscendens,Physcia adscendens,0
Physcia aipolia var. aipolia ,Physcia aipolia var. aipolia,1
Physcia tenella,Physcia tenella,0
Pilophorus cereolis,Pilophorus cereolus,2
Placynthiella oligotropha ,Placynthiella oligotropha,1
Placynthiella uliginosa,Placynthiella uliginosa,0
Platismatia glauca,Platismatia glauca,0
Platismatia norvegica,Platismatia norvegica,0
Polyblastia hyperborea,Polyblastia hyperborea,0
Polycauliona luteminia,Polycauliona luteominia,2
Polycauliona polycarpa,Polycauliona polycarpa,0
Polysporina simplex,Polysporina simplex,0
Porpidea flavocoerulescens,Porpidia flavocoerulescens,2
Porpidia contraponenda,Porpidia contraponenda,0
Porpidia crustulata,Porpidia crustulata,0
Porpidia grisea,Porpidia grisea,0
Porpidia lowiana,Porpidia lowiana,0
Porpidia macrocarpa,Porpidia macrocarpa,0
Porpidia sp.,,3
Porpidia speira,Porpidia speirea,2
Porpidia tuberculosa,Porpidia tuberculosa,0
Protopannaria pezizoides,Protopannaria pezizoides,0
Protoparmelia badia,Protoparmelia badia,0
Pseudephebe minuscula,Pseudephebe minuscula,0
Psoroma hypnorum,Psoroma hypnorum,0
Pycnothelia papillaria,Pycnothelia papillaria,0
Ramalina dilacerata,Ramalina dilacerata,0
Ramalina farinacea,Ramalina farinacea,0
Ramalina intermedia,Ramalina intermedia,0
